Index,X,Y,Intersection,AllMotorizedVehiclesAADT ,PercentTruck,PedestriansNotFactored,BicyclesNotFactored,TotalPopulation,DataCollectionDate
1,352841.6241,5020476.478,CAMPEAU DR/HWY 417 MARCH IC138R63 @ MARCH RD,65632,2.33%,10,5,65647,2017-Mar-30
2,375047.734,5031119.561,CYRVILLE RD @ INNES RD,65044,4.18%,170,55,65269,2017-May-03
3,370684.717,5030592.566,INDUSTRIAL AVE @ RIVERSIDE DR,61124,6.48%,365,17,61506,2017-Nov-29
4,374641.7329,5030921.56,HWY 417 INNES IC112R68 @ INNES RD,58834,4.94%,3,8,58845,2017-Apr-11
5,383957.6671,5036156.609,INNES RD @ TENTH LINE RD,54664,2.73%,462,52,55178,2017-May-03
6,365085.6959,5017903.461,FALLOWFIELD RD @ WOODROFFE AVE,54417,2.20%,13,2,54432,2017-Mar-02
7,372305.7211,5031951.574,ST. LAURENT BLVD @ COVENTRY RD/OGILVIE RD,52270,4.06%,1483,257,54010,2017-Jun-01
8,362282.6849,5024441.516,IRIS ST @ WOODROFFE AVE,52552,2.08%,226,7,52785,2017-Mar-22
9,351269.7181,5018181.775,TERRY FOX DR @ PALLADIUM DR/KATIMAVIK RD,51551,2.78%,110,6,51667,2017-Nov-23
10,366264.257,5031006.688,BOOTH ST @ OTTAWA RIVER PKWY/WELLINGTON ST,50268,2.94%,1015,362,51645,2017-Jun-08
11,382637.7559,5035567.564,INNES RD @ JEANNE D'ARC BLVD/MER BLEUE RD,49256,2.88%,271,47,49574,2017-May-03
12,367753.1879,5028446.55,BRONSON AVE @ BRONSON AVE NB ON RAMP 42,48509,2.33%,90,100,48699,2017-Jun-20
13,357066.6521,5020455.478,MOODIE DR @ ROBERTSON RD,48129,2.59%,443,3,48575,2017-Mar-08
14,376280.7381,5031841.563,ANDERSON RD @ INNES RD,47834,4.05%,0,86,47920,2017-May-03
15,370432.7189,5029081.553,ALTA VISTA DR @ SMYTH RD,46976,2.99%,463,55,47494,2017-Nov-21
16,362942.689,5026488.534,CARLING AVE @ MAITLAND AVE/SHERBOURNE RD,46559,2.09%,901,17,47477,2017-Mar-30
17,365365.4329,5022539.619,COLONNADE RD @ MERIVALE RD,47372,3.57%,91,2,47465,2017-Mar-22
18,367797.709,5028318.549,BRONSON AVE @ BRONSON AVE SB ON RAMP 43,46658,2.30%,158,99,46915,2017-Jun-20
19,373110.723,5032376.576,AVIATION PKWY @ OGILVIE RD,45770,1.87%,323,159,46252,2017-May-09
20,352323.623,5021528.488,HERZBERG RD @ MARCH RD,46009,1.56%,32,12,46053,2017-Mar-30
