Record,LOCATION,YEAR,TOTAL_COLLISIONS,BICYLCLES_IN_TOTAL,PEDESTRIANS_IN_TOTAL,X,Y,Latitude,Longitude
4894,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,2017,54,0,0,379860.74250,5036471.58090,-75.54014,45.46414
2748,HUNT CLUB RD @ RIVERSIDE DR,2017,45,0,0,368036.70300,5021945.49850,-75.69319,45.33461
2585,HIGHWAY 417 btwn HWY417 IC119A RAMP75 & HWY417 IC118 RAMP57,2017,44,0,0,368845.18145,5030639.44139,-75.68175,45.41276
2598,HIGHWAY 417 btwn HWY417 IC122 RAMP61 & HWY417 IC121B RAMP16,2017,44,0,0,366090.93474,5029352.62223,-75.71709,45.40143
2602,HIGHWAY 417 btwn HWY417 IC124 RAMP65 & HWY417 IC122 RAMP51,2017,43,0,0,364892.76230,5028250.87498,-75.73253,45.39162
5340,WEST HUNT CLUB RD @ WOODROFFE AVE,2017,41,0,0,363670.69100,5021246.48900,-75.74897,45.32870
484,BASELINE RD @ WOODROFFE AVE,2017,40,0,0,362549.69020,5023770.50470,-75.76298,45.35150
4914,ST. JOSEPH BLVD/OLD MONTREAL RD @ TRIM RD,2017,40,0,0,384682.75400,5039285.58190,-75.47803,45.48892
2610,HIGHWAY 417 btwn HWY417 IC127 RAMP25 & HWY417 IC126 RAMP51,2017,39,0,0,362850.70102,5025399.53631,-75.75894,45.36614
2582,HIGHWAY 417 btwn HWY417 IC118 RAMP67 & HWY417 IC117 RAMP36,2017,37,0,0,370070.25966,5031117.13461,-75.66604,45.41695
2408,HAWTHORNE RD @ HUNT CLUB RD,2017,34,0,1,375507.74990,5026406.52920,-75.59724,45.37403
2303,GREENBANK RD @ STRANDHERD DR,2017,33,0,0,363933.68390,5014784.41720,-75.74639,45.27053
1594,CYRVILLE RD @ INNES RD,2017,32,0,0,375047.72470,5031119.56420,-75.60245,45.41648
1700,DONALD ST @ ST. LAURENT BLVD,2017,32,0,1,372093.71290,5032472.58490,-75.64000,45.42895
2595,HIGHWAY 417 btwn HWY417 IC122 RAMP15 & HWY417 IC121B RAMP51,2017,32,0,0,366096.95142,5029333.34387,-75.71702,45.40125
479,BASELINE RD @ MERIVALE RD,2017,31,0,0,365054.69640,5025325.51490,-75.73082,45.36528
2608,HIGHWAY 417 btwn HWY417 IC126 RAMP61 & HWY417 IC124 RAMP76,2017,31,0,0,363654.04232,5026508.74857,-75.74856,45.37605
3699,MERIVALE RD @ WEST HUNT CLUB RD,2017,31,0,0,365612.69520,5021942.49820,-75.72411,45.33480
2603,HIGHWAY 417 btwn HWY417 IC124 RAMP67 & HWY417 IC123 RAMP62,2017,29,0,0,364712.66890,5027949.05540,-75.73487,45.38892
2634,HIGHWAY 417 btwn HWY417 IC138 RAMP61 & HWY417 IC134 RAMP36,2017,29,0,0,354868.96972,5021381.33964,-75.86124,45.33059
