Record	LOCATION	YEAR	TOTAL_COLLISIONS	BICYLCLES_IN_TOTAL	PEDESTRIANS_IN_TOTAL	X	Y	Latitude	Longitude
2634	HIGHWAY 417 btwn HWY417 IC138 RAMP61 & HWY417 IC134 RAMP36	2017	29	0	0	354868.96972	5021381.33964	-75.86124	45.33059
484	BASELINE RD @ WOODROFFE AVE	2017	40	0	0	362549.6902	5023770.505	-75.76298	45.3515
2610	HIGHWAY 417 btwn HWY417 IC127 RAMP25 & HWY417 IC126 RAMP51	2017	39	0	0	362850.701	5025399.536	-75.75894	45.36614
5340	WEST HUNT CLUB RD @ WOODROFFE AVE	2017	41	0	0	363670.691	5021246.489	-75.74897	45.3287
2608	HIGHWAY 417 btwn HWY417 IC126 RAMP61 & HWY417 IC124 RAMP76	2017	31	0	0	363654.0423	5026508.749	-75.74856	45.37605
2303	GREENBANK RD @ STRANDHERD DR	2017	33	0	0	363933.6839	5014784.417	-75.74639	45.27053
2603	HIGHWAY 417 btwn HWY417 IC124 RAMP67 & HWY417 IC123 RAMP62	2017	29	0	0	364712.6689	5027949.055	-75.73487	45.38892
2602	HIGHWAY 417 btwn HWY417 IC124 RAMP65 & HWY417 IC122 RAMP51	2017	43	0	0	364892.7623	5028250.875	-75.73253	45.39162
479	BASELINE RD @ MERIVALE RD	2017	31	0	0	365054.6964	5025325.515	-75.73082	45.36528
3699	MERIVALE RD @ WEST HUNT CLUB RD	2017	31	0	0	365612.6952	5021942.498	-75.72411	45.3348
2598	HIGHWAY 417 btwn HWY417 IC122 RAMP61 & HWY417 IC121B RAMP16	2017	44	0	0	366090.9347	5029352.622	-75.71709	45.40143
2595	HIGHWAY 417 btwn HWY417 IC122 RAMP15 & HWY417 IC121B RAMP51	2017	32	0	0	366096.9514	5029333.344	-75.71702	45.40125
2748	HUNT CLUB RD @ RIVERSIDE DR	2017	45	0	0	368036.703	5021945.499	-75.69319	45.33461
2585	HIGHWAY 417 btwn HWY417 IC119A RAMP75 & HWY417 IC118 RAMP57	2017	44	0	0	368845.1815	5030639.441	-75.68175	45.41276
2582	HIGHWAY 417 btwn HWY417 IC118 RAMP67 & HWY417 IC117 RAMP36	2017	37	0	0	370070.2597	5031117.135	-75.66604	45.41695
1700	DONALD ST @ ST. LAURENT BLVD	2017	32	0	1	372093.7129	5032472.585	-75.64	45.42895
1594	CYRVILLE RD @ INNES RD	2017	32	0	0	375047.7247	5031119.564	-75.60245	45.41648
2408	HAWTHORNE RD @ HUNT CLUB RD	2017	34	0	1	375507.7499	5026406.529	-75.59724	45.37403
4894	ST. JOSEPH BLVD @ JEANNE D'ARC BLVD	2017	54	0	0	379860.7425	5036471.581	-75.54014	45.46414
4914	ST. JOSEPH BLVD/OLD MONTREAL RD @ TRIM RD	2017	40	0	0	384682.754	5039285.582	-75.47803	45.48892
